"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\VS experiments\canasta\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\VS experiments\canasta\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\VS experiments\canasta\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\VS experiments\canasta\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 4, 13
"d:\VS experiments\canasta\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\VS experiments\canasta\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\VS experiments\canasta\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"d:\VS experiments\canasta\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\VS experiments\canasta\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\VS experiments\canasta\pubspec.yaml", "YAML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\VS experiments\canasta\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"d:\VS experiments\canasta\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\VS experiments\canasta\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\VS experiments\canasta\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\VS experiments\canasta\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\VS experiments\canasta\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\VS experiments\canasta\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\VS experiments\canasta\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\VS experiments\canasta\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\VS experiments\canasta\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 17, 713, 5, 531, 52, 38, 248, 463, 8, 94, 222, 328, 2719
